FID,,County,State,Year,Month,Date,PDSI,PHDI,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2008,8,Aug-08,1.561434401,2.091865608,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2008,9,Sep-08,2.50620439,2.285589119,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2008,10,Oct-08,2.599214947,2.323134264,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2008,11,Nov-08,0.866191389,1.709041185,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2008,12,Dec-08,1.228452159,1.978039521,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2009,1,Jan-09,0.441354718,0.680118276,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2009,2,Feb-09,-0.0955826,0.145590999,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2009,3,Mar-09,0.681152768,0.690200329,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2009,4,Apr-09,0.309432922,0.322261301,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2009,5,May-09,2.007017285,2.224055641,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2009,6,Jun-09,1.573363948,1.581486415,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2009,7,Jul-09,2.596990471,2.894194272,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2009,8,Aug-09,2.80198251,2.804479043,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2009,9,Sep-09,4.052790005,4.385549909,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2009,10,Oct-09,6.983790911,6.965222684,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2009,11,Nov-09,1.368887989,5.73136185,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2009,12,Dec-09,2.516312941,5.968674398,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2010,1,Jan-10,-0.192880445,5.307317888,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2010,2,Feb-10,-0.704424883,4.597927334,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2010,3,Mar-10,-0.942523113,3.147966504,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2010,4,Apr-10,-1.410450872,2.835193424,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2010,5,May-10,-1.19624217,2.318913818,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2010,6,Jun-10,-2.061561585,-0.238652271,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2010,7,Jul-10,-2.419931705,-0.855906337,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2010,8,Aug-10,-2.785221561,-3.364372982,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2010,9,Sep-10,-3.47666783,-3.523545736,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2010,10,Oct-10,-3.506284888,-3.504471414,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2010,11,Nov-10,-2.847729992,-2.75111949,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2010,12,Dec-10,-3.452529881,-3.336991802,,,,,,,,,,,,
